617		132		1
610		115		1
587		116		1
586		132		1
592		151		1
571		112		1
578		97		1
595		102		1
607		136		1
570		132		1
582		152		1
592		120		1
599		138		1
607		155		1
669		214		2
678		196		2
712		190		2
734		248		2
703		247		2
677		252		2
685		224		2
718		216		2
706		229		2
663		226		2
653		234		2
637		212		2
690		179		2
698		205		2
649		180		2
658		195		2
656		210		2
675		243		2
693		261		2
713		263		2
727		235		2
693		240		2
566		276		3
576		302		3
575		285		3
548		310		3
570		317		3
593		301		3
584		267		3
558		273		3
546		282		3
589		312		3
588		291		3
603		290		3
594		281		3
559		291		3
380		223		4
394		202		4
419		198		4
447		215		4
469		186		4
493		156		4
497		201		4
426		226		4
405		219		4
446		233		4
512		204		4
465		238		4
473		222		4
492		236		4
482		199		4
468		166		4
446		171		4
445		186		4
464		205		4
431		254		4
506		217		4
510		184		4
490		179		4
